family,num_languages,total_words,languages
Niger-Congo,376,1414363205,"['Abidji', 'Abua', 'Abé', 'Adamawa Fulfulde', 'Adangme', 'Adele', 'Adioukrou', 'Ahanta', 'Aja (Benin)', 'Akoose', 'Anufo', 'Anyin', 'Attié', 'Avatime', 'Baatonum', 'Babanki', 'Bafia', 'Bafut', 'Baga Sitemu', 'Bambara', 'Bandial', 'Baoulé', 'Basa (Cameroon)', 'Bassa', 'Bassari', 'Beembe', 'Bekwarra', 'Bemba (Zambia)', 'Berom', 'Bete-Bendi', 'Bimoba', 'Bini', 'Bissa', 'Boko (Benin)', 'Bokobaru', 'Bomu', 'Borgu Fulfulde', 'Buamu', 'Buli (Ghana)', 'Bulu (Cameroon)', 'Bum', 'Busa', 'Cameroon Mambila', 'Central-Eastern Niger Fulfulde', 'Cerma', 'Chiga', 'Chokwe', 'Chopi', 'Chumburung', 'Chuwabu', 'Cishingini', 'Congo Swahili', 'Dagbani', 'Dan', 'Deg', 'Delo', 'Denya', 'Digo', 'Dii', 'Diriku', 'Ditammari', 'Djimini Senoufo', 'Dogosé', 'Doyayo', 'Duala', 'Duruma', 'Dyula', 'Eastern Karaboro', 'Eastern Krahn', 'Efik', 'Ejagham', 'Ekajuk', 'Esan', 'Eton (Cameroon)', 'Ewe', 'Ewondo', 'Ezaa', 'Fang (Equatorial Guinea)', 'Farefare', 'Fon', 'Ga', 'Ganda', 'Gbagyi', 'Gen', ""Ghomálá'"", 'Gikyode', 'Giryama', 'Gitonga', 'Gogo', 'Gokana', 'Gonja', 'Gourmanchéma', 'Gun', 'Gungu', 'Guro', 'Gusii', 'Gwere', 'Hanga', 'Havu', 'Haya', 'Hehe', 'Herero', 'Idoma', 'Ifè', 'Igbo', 'Igede', 'Ika', 'Ikwere', 'Ikwo', 'Ila', 'Isoko', 'Ivbie North-Okpela-Arhe', 'Izere', 'Izii', 'Jola-Fonyi', 'Jola-Kasa', 'Jukun Takum', 'Kaansa', 'Kabiyè', 'Kagulu', 'Kako', 'Kalanga', 'Kamba (Kenya)', 'Kanyok', 'Kaonde', 'Karon', 'Kasem', 'Kenyang', 'Khana', 'Kikuyu', 'Kim', 'Kimbundu', 'Kinyarwanda', 'Koma', 'Konkomba', 'Kono (Sierra Leone)', 'Konzo', 'Koongo', 'Koonzime', 'Koti', 'Kouya', 'Kpelle', 'Kuanyama', 'Kukele', 'Kuo', 'Kuranko', 'Kuria', 'Kusaal', 'Kutep', 'Kutu', 'Kuwaa', 'Kuwaataay', 'Kwangali', 'Kwere', 'Laari', 'Lamba', 'Lambya', 'Lega-Mwenga', 'Lelemi', 'Lenje', 'Limbum', 'Lingala', 'Lobala', 'Lobi', 'Lokaa', 'Loko', 'Lolo', 'Loma (Liberia)', 'Lomwe', 'Lozi', 'Luba-Katanga', 'Luba-Lulua', 'Luguru', 'Lukpa', 'Lunda', 'Luvale', 'Lyélé', 'Maasina Fulfulde', 'Machame', 'Mada (Nigeria)', 'Makaa', 'Makhuwa', 'Makhuwa-Meetto', 'Makhuwa-Shirima', 'Makonde', 'Malawi Sena', 'Malba Birifor', 'Mamara Senoufo', 'Mambwe-Lungu', 'Mampruli', 'Mandinka', 'Mankanya', 'Mano', 'Manyawa', 'Maore Comorian', 'Masaaba', 'Mbukushu', 'Mbunda', 'Medumba', 'Mende (Sierra Leone)', 'Meru', ""Meta'"", 'Miyobe', 'Moba', 'Mochi', 'Mogofin', 'Mokole', 'Mongo', 'Moro', 'Mossi', 'Mumuye', 'Mundang', 'Mundani', 'Mwan', 'Mwani', 'Ménik', 'Mündü', 'Nafaanra', 'Nande', 'Nawdm', 'Nawuri', 'Ndali', 'Ndamba', 'Ndau', 'Ndogo', 'Ndonga', 'Ngando (Democratic Republic of Congo)', 'Ngangam', 'Ngazidja Comorian', 'Ngiemboon', 'Ngindo', 'Ngombe (Democratic Republic of Congo)', 'Ngulu', 'Nigeria Mambila', 'Nigerian Fulfulde', 'Nilamba', 'Ninzo', 'Nkonya', 'Nomaande', 'Noon', 'Noone', 'North Ndebele', 'Northern Bobo Madaré', 'Northern Dagara', 'Northern Grebo', 'Northern Kissi', 'Northern Ngbandi', 'Northwest Gbaya', 'Nsenga', 'Ntcham', 'Nyabwa', 'Nyakyusa-Ngonde', 'Nyamwanga', 'Nyaneka', 'Nyanja', 'Nyankole', 'Nyaturu', 'Nyemba', 'Nyole', 'Nyoro', 'Nyungwe', 'Nzima', 'Obolo', 'Okpe (Southwestern Edo)', 'Oku', 'Paasaal', 'Pedi', 'Pere', 'Phende', 'Phimbi', 'Pinyin', 'Plapo Krumen', 'Pogolo', 'Pokomo', 'Pular', 'Rigwe', 'Ronga', 'Rundi', 'Ruund', 'Saamia', 'Samba Leko', 'San Salvador Kongo', 'Sankaran Maninka', 'Sehwi', 'Sekpele', 'Selee', 'Sena', 'Serer', 'Shambala', 'Shona', 'Sissala', 'Siwu', 'Soga', 'Soli', 'Songe', 'Songomeno', 'South Fali', 'South Ndebele', 'Southern Birifor', 'Southern Bobo Madaré', 'Southern Dagaare', 'Southern Kisi', 'Southern Nuni', 'Southern Samo', 'Southern Sotho', 'Southern Toussian', 'Southwest Gbaya', 'Suba', 'Subiya', 'Sukuma', 'Supyire Senoufo', 'Susu', 'Swahili (individual language)', 'Swati', 'Taabwa', 'Takwane', 'Talinga-Bwisi', 'Tampulma', 'Tem', 'Tepo Krumen', 'Tetela', 'Tewe', 'Tharaka', 'Tigon Mbembe', 'Tikar', 'Timne', 'Tiv', 'Toma', 'Tonga (Nyasa)', 'Tonga (Zambia)', 'Tooro', 'Toro So Dogon', ""Toura (Côte d'Ivoire)"", 'Tsikimba', 'Tsishingini', 'Tsonga', 'Tswa', 'Tswana', 'Tula', 'Tumbuka', 'Tumulung Sisaala', 'Tupuri', 'Tuwuli', 'Tyap', 'Umbundu', 'Urhobo', 'Vagla', 'Venda', 'Vengo', 'Vidunda', 'Vunjo', 'Vute', 'Waama', 'Wali (Ghana)', 'Wamey', 'Wanga', 'West-Central Limba', 'Western Niger Fulfulde', 'Wolof', 'Wè Northern', 'Xaasongaxango', 'Xhosa', 'Yalunka', 'Yamba', 'Yambeta', 'Yao', 'Yaouré', 'Yemba', 'Yocoboué Dida', 'Yombe', 'Yoruba', 'Zande (individual language)', 'Zemba', 'Zigula', 'Zulu', 'ut-Hun']"
Mongolic,3,831698959,"['Halh Mongolian', 'Kalmyk', 'Russia Buriat']"
Language isolate,15,714677099,"['Abun', 'Ainu (Japan)', 'Basque', 'Camsá', 'Candoshi-Shapra', 'Chiquitano', 'Cofán', 'Kuot', 'Rikbaktsa', 'Sulka', 'Ticuna', 'Urarina', 'Waorani', 'Warao', 'Yuracare']"
Creole,34,623927113,"['Ambonese Malay', 'Baba Malay', 'Belize Kriol English', 'Betawi', 'Bislama', 'Cameroon Pidgin', 'Chavacano', 'Eastern Maroon Creole', 'Guadeloupean Creole French', 'Guianese Creole French', 'Haitian', ""Hawai'i Creole English"", 'Islander Creole English', 'Jamaican Creole English', 'Kabuverdianu', 'Kituba (Democratic Republic of Congo)', 'Krio', 'Kriol', 'Kupang Malay', 'Manado Malay', 'Morisyen', 'Nigerian Pidgin', 'Papiamento', 'Pijin', 'Réunion Creole French', 'Saint Lucian Creole French', 'Sango', 'Saramaccan', 'Sea Island Creole English', 'Seselwa Creole French', 'Sranan Tongo', 'Tok Pisin', 'Torres Strait Creole', 'Upper Guinea Crioulo']"
Constructed language,1,239172962,['Esperanto']
Hmong-Mien,3,133009709,"['Hmong Daw', 'Hmong Njua', 'Iu Mien']"
Trans-New Guinea,133,42064292,"['Abui', 'Agarabi', 'Alekano', 'Amele', 'Aneme Wake', 'Angaataha', 'Angal Heneng', 'Angguruk Yali', 'Anjam', 'Ankave', 'Awa (Papua New Guinea)', 'Awara', 'Awiyaana', 'Barai', 'Bargam', 'Baruya', 'Benabena', 'Biangai', 'Bimin', 'Binandere', 'Binumarien', 'Bo-Ung', 'Borong', 'Chuave', 'Dadibi', 'Daga', 'Dano', 'Dedua', 'Doromu-Koki', 'East Kewa', 'Edolo', 'Enga', 'Ese', 'Ewage-Notu', 'Faiwol', 'Fasu', 'Fataluku', 'Folopa', 'Fore', 'Girawa', 'Golin', 'Guhu-Samane', 'Gwahatike', 'Huli', 'Imbongu', 'Inoke-Yate', 'Ipili', 'Iyo', 'Kalam', 'Kaluli', 'Kamano', 'Kamula', 'Kanasi', 'Kandawo', 'Kanite', 'Kasua', 'Kein', 'Keyagana', 'Kobon', 'Komba', 'Konai', 'Korafe-Yegha', 'Korupun-Sela', 'Kosarek Yale', 'Kosena', 'Kube', 'Kuman (Papua New Guinea)', 'Kuni-Boazi', 'Kunimaipa', 'Kyaka', 'Kâte', 'Maiwa (Papua New Guinea)', 'Makasae', 'Mape', 'Mauwake', 'Melpa', 'Mian', 'Migabac', 'Mountain Koiali', 'Nabak', 'Namiae', 'Nek', 'Nggem', 'Nii', 'Nobonob', 'North Tairora', 'North Wahgi', 'Nukna', 'Numanggang', 'Odoodee', 'Ogea', 'Oksapmin', 'Ono', 'Orokaiva', 'Rawa', 'Safeyoka', 'Salt-Yui', 'Samberigi', 'Selepet', 'Siane', 'Siroi', 'Somba-Siawari', 'Sop', 'South Tairora', 'Suena', 'Tai', 'Telefol', 'Tifal', 'Timbe', 'Toaripi', 'Tuma-Irumu', 'Uare', 'Umanakaina', 'Umbu-Ungu', 'Una', 'Uri', 'Usan', 'Usarufa', 'Waffa', 'Wagi', 'Wantoat', 'Waskia', 'Weri', 'West Kewa', 'Western Dani', 'Wiru', 'Yareba', 'Yau (Morobe Province)', 'Yaweyuha', 'Yongkom', 'Yopno', 'Zia', 'Ömie']"
Nakh-Daghestanian,9,30473841,"['Aghul', 'Avaric', 'Chechen', 'Dargwa', 'Ingush', 'Lak', 'Lezghian', 'Tabassaran', 'Tsakhur']"
Mayan,25,27846994,"['Achi', 'Aguacateco', 'Chol', 'Chortí', 'Chuj', 'Huastec', 'Ixil', ""K'iche'"", 'Kaqchikel', 'Kekchí', 'Lacandon', 'Mam', 'Mopán Maya', ""Popti'"", ""Poqomchi'"", ""Q'anjob'al"", 'Tabasco Chontal', 'Tektiteko', 'Tojolabal', ""Tz'utujil"", 'Tzeltal', 'Tzotzil', 'Uspanteco', 'Western Kanjobal', 'Yucateco']"
Eskimo-Aleut,7,17572084,"['Central Siberian Yupik', 'Central Yupik', 'Eastern Canadian Inuktitut', 'Inuinnaqtun', 'Kalaallisut', 'North Alaskan Inupiatun', 'Northwest Alaska Inupiatun']"
Otomanguean,88,16887270,"['Alacatlatzala Mixtec', 'Amatlán Zapotec', 'Apasco-Apoala Mixtec', 'Atatláhuca Mixtec', 'Ayautla Mazatec', 'Ayutla Mixtec', 'Cajonos Zapotec', 'Central Mazahua', 'Chayuco Mixtec', 'Chicahuaxtla Triqui', 'Chichicapan Zapotec', 'Chiquihuitlán Mazatec', 'Choapan Zapotec', 'Coatecas Altas Zapotec', 'Coatzospan Mixtec', 'Comaltepec Chinantec', 'Copala Triqui', 'Diuxi-Tilantongo Mixtec', 'Eastern Highland Chatino', 'Eastern Highland Otomi', 'Estado de México Otomi', 'Guerrero Amuzgo', 'Guevea De Humboldt Zapotec', 'Huautla Mazatec', 'Isthmus Zapotec', 'Jalapa De Díaz Mazatec', 'Jamiltepec Mixtec', 'Lachiguiri Zapotec', 'Lachixío Zapotec', 'Lalana Chinantec', 'Lealao Chinantec', 'Magdalena Peñasco Mixtec', ""Malinaltepec Me'phaa"", 'Metlatónoc Mixtec', 'Mezquital Otomi', 'Miahuatlán Zapotec', 'Mitla Zapotec', 'Mixtepec Zapotec', 'Nopala Chatino', 'Northern Pame', 'Northern Tlaxiaco Mixtec', 'Ocotepec Mixtec', 'Ocotlán Zapotec', 'Ojitlán Chinantec', 'Ozolotepec Zapotec', 'Ozumacín Chinantec', 'Palantla Chinantec', 'Peñoles Mixtec', 'Pinotepa Nacional Mixtec', 'Querétaro Otomi', 'Quiavicuzas Zapotec', 'Quioquitani-Quierí Zapotec', 'Quiotepec Chinantec', 'Rincón Zapotec', 'San Jerónimo Tecóatl Mazatec', 'San Juan Atzingo Popoloca', 'San Juan Colorado Mixtec', 'San Luís Temalacayuca Popoloca', 'San Marcos Tlacoyalco Popoloca', 'San Martín Itunyoso Triqui', 'San Miguel El Grande Mixtec', 'San Pedro Amuzgos Amuzgo', 'San Vicente Coatlán Zapotec', 'Santa María Quiegolani Zapotec', 'Santa María Zacatepec Mixtec', 'Santo Domingo Albarradas Zapotec', 'Sierra de Juárez Zapotec', 'Silacayoapan Mixtec', 'Sochiapam Chinantec', 'Southern Puebla Mixtec', 'Southern Rincon Zapotec', 'Tabaa Zapotec', 'Tataltepec Chatino', 'Tenango Otomi', 'Tepetotutla Chinantec', 'Tepeuxila Cuicatec', 'Teutila Cuicatec', 'Texmelucan Zapotec', 'Tezoatlán Mixtec', 'Usila Chinantec', 'Western Highland Chatino', 'Western Tlacolula Valley Zapotec', 'Yalálag Zapotec', 'Yareni Zapotec', 'Yatee Zapotec', 'Yatzachi Zapotec', 'Yosondúa Mixtec', 'Zoogocho Zapotec']"
Artificial Language,12,14759405,"['Ido', 'Interlingua (International Auxiliary Language Association)', 'Interlingue', 'Klingon', 'Kotava', 'Lingua Franca Nova', 'Lojban', 'Láadan', 'Novial', 'Talossan', 'Toki Pona', 'Volapük']"
Nilo-Saharan,50,10689088,"['Acoli', 'Adhola', 'Alur', 'Aringa', 'Avokaya', 'Baka (South Sudan)', 'Bedjond', 'Central Kanuri', 'Datooga', 'Dendi (Benin)', 'Didinga', 'Gor', 'Gulay', 'Gumuz', 'Jur Modo', 'Kaba', 'Kakwa', 'Karamojong', 'Keliko', 'Kenga', 'Kipsigis', 'Koyraboro Senni Songhai', 'Kumam', 'Kupsabiny', 'Laka (Chad)', 'Lango (Uganda)', 'Logo', 'Lugbara', 'Luo (Kenya and Tanzania)', 'Luwo', ""Ma'di"", 'Mabaan', 'Manga Kanuri', 'Markweeta', 'Masai', 'Mbay', 'Morokodo', 'Murle', 'Ngambay', 'Ngiti', 'Nuer', 'Sabaot', 'Sar', 'Shilluk', 'Southeastern Dinka', 'Southwestern Dinka', 'Teso', 'Turkana', 'Uduk', 'Zarma']"
Abkhaz-Adyghe,4,10009422,"['Abaza', 'Abkhazian', 'Adyghe', 'Kabardian']"
Quechuan,28,9460357,"['Ambo-Pasco Quechua', 'Ayacucho Quechua', 'Cajamarca Quechua', 'Cañar Highland Quichua', 'Chimborazo Highland Quichua', 'Cusco Quechua', 'Eastern Apurímac Quechua', 'Huallaga Huánuco Quechua', 'Huamalíes-Dos de Mayo Huánuco Quechua', 'Huaylas Ancash Quechua', 'Huaylla Wanca Quechua', 'Imbabura Highland Quichua', 'Inga', 'Lambayeque Quechua', 'Margos-Yarowilca-Lauricocha Quechua', 'Napo Lowland Quechua', 'North Bolivian Quechua', 'North Junín Quechua', 'Northern Conchucos Ancash Quechua', 'Northern Pastaza Quichua', 'Panao Huánuco Quechua', 'Salasaca Highland Quichua', 'San Martín Quechua', 'Santiago del Estero Quichua', 'South Bolivian Quechua', 'Southern Conchucos Ancash Quechua', 'Southern Pastaza Quechua', 'Tena Lowland Quichua']"
Tupian,18,8526784,"['Aché', 'Chiripá', 'Eastern Bolivian Guaraní', 'Guajajára', 'Guarayu', 'Kaiwá', 'Kayabí', 'Lingua Geral Paulista', 'Mbyá Guaraní', 'Mundurukú', 'Nhengatu', 'Paraguayan Guaraní', 'Sateré-Mawé', 'Sirionó', 'Tenharim', 'Urubú-Kaapor', 'Wayampi', 'Western Bolivian Guaraní']"
Uto-Aztecan,29,8501934,"['Central Huasteca Nahuatl', 'Central Puebla Nahuatl', 'Central Tarahumara', 'Eastern Huasteca Nahuatl', 'El Nayar Cora', 'Guerrero Nahuatl', 'Highland Puebla Nahuatl', 'Hopi', 'Huarijio', 'Huichol', 'Isthmus-Cosoleacaque Nahuatl', 'Isthmus-Mecayapan Nahuatl', 'Lowland Tarahumara', 'Mayo', 'Michoacán Nahuatl', 'Nahuatl languages', 'Northern Oaxaca Nahuatl', 'Northern Paiute', 'Northern Puebla Nahuatl', 'Northern Tepehuan', 'Santa Teresa Cora', 'Sierra Negra Nahuatl', 'Southeastern Puebla Nahuatl', 'Southeastern Tepehuan', 'Tetelcingo Nahuatl', ""Tohono O'odham"", 'Western Huasteca Nahuatl', 'Yaqui', 'Zacatlán-Ahuacatlán-Tepetzintla Nahuatl']"
Atlantic-Congo,2,6151251,"['Fanti', 'Twi']"
Sepik,11,5629139,"['Abau', 'Alamblak', 'Ambulas', 'Hanga Hundi', 'Iatmul', 'Kwanga', 'Kwoma', 'Mende (Papua New Guinea)', 'Saniyo-Hiyewe', 'Sepik Iwam', 'Yessan-Mayo']"
Maipurean,25,3813560,"['Achagua', 'Ajyíninka Apurucayali', 'Apurinã', 'Asháninka', 'Ashéninka Pajonal', 'Ashéninka Perené', 'Baniwa', 'Caquinte', 'Garifuna', 'Ignaciano', 'Machiguenga', 'Nomatsiguenga', 'Palikúr', 'Parecís', 'Piapoco', 'Pichis Ashéninka', 'South Ucayali Ashéninka', 'Tereno', 'Trinitario', 'Ucayali-Yurúa Ashéninka', 'Wapishana', 'Wayuu', ""Yanesha'"", 'Yine', 'Yucuna']"
Australian,19,3603187,"['Alyawarr', 'Anindilyakwa', 'Anmatyerre', 'Burarra', 'Dhangu-Djangu', 'Djambarrpuyngu', 'Eastern Arrernte', 'Garrwa', 'Gumatj', 'Kala Lagaw Ya', 'Kuku-Yalanji', 'Maung', 'Murrinh-Patha', 'Nunggubuyu', 'Pitjantjatjara', 'Walmajarri', 'Warlpiri', 'Western Arrarnta', 'Wik-Mungkan']"
Chibchan,9,3414378,"['Border Kuna', 'Bribri', 'Buglere', 'Cabécar', 'Central Tunebo', 'Cogui', 'Ngäbere', 'San Blas Kuna', 'Teribe']"
Tucanoan,16,3168117,"['Barasana-Eduria', 'Carapana', 'Cubeo', 'Desano', 'Guanano', 'Koreguaje', 'Macuna', 'Piratapuyo', 'Secoya', 'Siona', 'Siriano', 'Tanimuca-Retuarã', 'Tatuyo', 'Tucano', 'Tuyuca', 'Waimaha']"
Torricelli,8,3022998,"['Au', 'Bukiyip', 'Kamasau', 'Kombio', 'Mufian', 'Olo', 'Urat', 'Urim']"
Totonacan,8,2088711,"['Coyutla Totonac', 'Highland Totonac', 'Huehuetla Tepehua', 'Papantla Totonac', 'Pisaflores Tepehua', 'Tlachichilco Tepehua', 'Upper Necaxa Totonac', 'Xicotepec De Juárez Totonac']"
Aymaran,1,1705732,['Central Aymara']
Algic,13,1528063,"['Algonquin', 'Arapaho', 'Atikamekw', ""Mi'kmaq"", 'Moose Cree', 'Northern East Cree', 'Northwestern Ojibwa', 'Ottawa', 'Plains Cree', 'Potawatomi', 'Siksika', 'Southern East Cree', 'Swampy Cree']"
Pidgin,1,1518107,['Hiri Motu']
Siouan-Catawban,1,1457397,['Dakota']
Mapudungu,1,1327974,['Mapudungun']
Mixe-Zoquean,10,1270258,"['Coatlán Mixe', 'Francisco León Zoque', 'Highland Popoluca', 'Isthmus Mixe', 'Juquila Mixe', 'Mazatlán Mixe', 'Quetzaltepec Mixe', 'Sayula Popoluca', 'Tlahuitoltepec Mixe', 'Totontepec Mixe']"
Yele-West New Britain,2,1207587,"['Pele-Ata', 'Yele']"
Ramu-Lower Sepik,4,1173790,"['Akukem', 'Aruamu', 'Borei', 'Kire']"
Panoan,8,1088398,"['Capanahua', 'Cashibo-Cacataibo', 'Cashinahua', 'Chácobo', 'Matsés', 'Sharanahua', 'Shipibo-Conibo', 'Yaminahua']"
Chocoan,4,1052971,"['Emberá-Catío', 'Epena', 'Northern Emberá', 'Woun Meu']"
Jivaroan,4,1024693,"['Achuar-Shiwiar', 'Aguaruna', 'Huambisa', 'Shuar']"
Jean,4,973907,"['Apinayé', 'Kaingang', 'Kayapó', 'Xavánte']"
Eyak-Athabaskan,7,846601,"['Beaver', 'Carrier', 'Gwichʼin', 'Navajo', 'Southern Carrier', 'Tlicho', 'Western Apache']"
Eastern Trans-Fly,2,796927,"['Bine', 'Wipi']"
Witotoan,4,785769,"['Bora', 'Minica Huitoto', 'Muinane', 'Murui Huitoto']"
West Papuan,4,784210,"['Galela', 'Tabaru', 'Tobelo', 'Yawa']"
Cariban,9,773526,"['Akawaio', 'Apalaí', 'Bakairí', 'Galibi Carib', 'Hixkaryána', 'Macushi', 'Patamona', 'Wayana', 'Yukpa']"
South-Central Papuan,1,723188,['Tabo']
Guajiboan,3,697179,"['Cuiba', 'Guahibo', 'Guayabero']"
Tacanan,3,614929,"['Cavineña', 'Ese Ejja', 'Tacana']"
Paezan,2,609234,"['Guambiano', 'Páez']"
East Geelvink Bay,1,608381,['Bauzi']
South Bougainville,1,570699,['Naasioi']
Matacoan,6,567787,"[""Iyojwa'ja Chorote"", 'Maca', 'Nivaclé', 'Wichí Lhamtés Güisnay', 'Wichí Lhamtés Nocten', 'Wichí Lhamtés Vejoz']"
Border,2,553007,"['Amanab', 'Waris']"
Khoe-Kwadi,2,539692,"['Khoekhoe', 'Naro']"
Senagi,1,537594,['Angor']
East New Britain,1,522163,['Qaqet']
Barbacoan,3,505415,"['Awa-Cuaiquer', 'Chachi', 'Colorado']"
Mixed language,3,473150,"['Angloromani', 'Caló', ""N'Ko""]"
Pauwasi,1,460892,['Karkar-Yuri']
Puinavean,3,460324,"['Cacua', 'Nadëb', 'Puinave']"
Misumalpan,2,429828,"['Mayangna', 'Mískito']"
Mosetenan,1,387842,['Tsimané']
East Bird’s Head-Sentani,2,369469,"['Manikion', 'Meyah']"
Arai (Left May),1,352907,['Ama (Papua New Guinea)']
Arauan,3,345852,"['Culina', 'Jamamadí', 'Paumarí']"
Tequistlatecan,1,324924,['Highland Oaxaca Chontal']
Tarascan,1,321520,['Purepecha']
North Bougainville,1,294295,['Rotokas']
Zamucoan,2,255668,"['Ayoreo', 'Chamacoco']"
Guaykuruan,4,210110,"['Kadiwéu', 'Mocoví', 'Pilagá', 'Toba']"
Chipaya-Uru,1,195550,['Chipaya']
Maxakalian,1,185392,['Maxakalí']
Chukotko-Kamchatkan,1,153819,['Chukot']
Zaparoan,1,130568,['Arabela']
Tungusic,2,120130,"['Even', 'Xibe']"
Mascoyan,2,117148,"['Enlhet', 'Enxet']"
Nambikwara,1,108740,['Southern Nambikuára']
Iroquoian,2,107522,"['Cherokee', 'Mohawk']"
Kiowa-Tanoan,1,106531,['Tewa (USA)']
Piawi,1,104405,['Haruai']
Cahuapanan,1,96592,['Chayahuita']
Harákmbut,1,91867,['Amarakaeri']
Mande,1,71922,['Dan']
Yanomaman,2,62862,"['Sanumá', 'Yanomamö']"
Huavean,1,62580,['San Mateo Del Mar Huave']
Jicaquean,1,61916,['Tol']
Yaguan,1,34768,['Yagua']
Karajá,1,17093,['Karajá']
Muskogean,2,11165,"['Choctaw', 'Creek']"
Oto-Manguean,1,9273,['Otomian languages']
Tor-Kwerba,2,8269,"['Berik', 'Orya']"
Kx’a,1,2561,['Juǀʼhoan']
Yuat,1,1259,['Kyenele']
